pid	|	AT	|	BT	|	CT	|	TAT	|	WT	|	RT
___________________________________________________
1	|	7	|	11	|	24	|	17	|	6	|	6
2	|	105	|	8	|	113	|	8	|	0	|	0
3	|	113	|	8	|	123	|	10	|	2	|	2
4	|	490	|	1	|	491	|	1	|	0	|	0
5	|	498	|	2	|	503	|	5	|	3	|	3
6	|	50	|	8	|	58	|	8	|	0	|	0
7	|	80	|	8	|	89	|	9	|	1	|	1
8	|	131	|	11	|	147	|	16	|	5	|	5
9	|	129	|	7	|	136	|	7	|	0	|	0
10	|	208	|	5	|	219	|	11	|	6	|	6
11	|	341	|	9	|	358	|	17	|	8	|	8
12	|	339	|	10	|	349	|	10	|	0	|	0
13	|	194	|	3	|	199	|	5	|	2	|	2
14	|	29	|	8	|	37	|	8	|	0	|	0
15	|	283	|	8	|	291	|	8	|	0	|	0
16	|	299	|	7	|	309	|	10	|	3	|	3
17	|	6	|	7	|	13	|	7	|	0	|	0
18	|	269	|	4	|	273	|	4	|	0	|	0
19	|	202	|	5	|	214	|	12	|	7	|	7
20	|	169	|	11	|	180	|	11	|	0	|	0
21	|	393	|	10	|	414	|	21	|	11	|	11
22	|	384	|	12	|	396	|	12	|	0	|	0
23	|	386	|	2	|	404	|	18	|	16	|	16
24	|	473	|	9	|	482	|	9	|	0	|	0
25	|	317	|	7	|	325	|	8	|	1	|	1
26	|	290	|	11	|	302	|	12	|	1	|	1
27	|	187	|	9	|	196	|	9	|	0	|	0
28	|	68	|	10	|	81	|	13	|	3	|	3
29	|	299	|	3	|	312	|	13	|	10	|	10
30	|	106	|	2	|	115	|	9	|	7	|	7
31	|	444	|	10	|	454	|	10	|	0	|	0
32	|	365	|	4	|	374	|	9	|	5	|	5
33	|	302	|	6	|	318	|	16	|	10	|	10
34	|	61	|	10	|	71	|	10	|	0	|	0
35	|	385	|	6	|	402	|	17	|	11	|	11
36	|	450	|	4	|	458	|	8	|	4	|	4
37	|	195	|	10	|	209	|	14	|	4	|	4
38	|	497	|	4	|	501	|	4	|	0	|	0
39	|	341	|	9	|	367	|	26	|	17	|	17
40	|	342	|	3	|	370	|	28	|	25	|	25
